full_id,name,shop,lon,lat
n2282922629,サンクス,convenience,139.7658,35.6947
n2283636654,COSMOS,florist,139.7442,35.6465
n2282509811,,clothes,139.7293,35.6668
n2282509903,ナチュラルローソン,convenience,139.7281,35.6665
n2280846709,立原金物店,hardware,139.7308,35.6644
n2282509750,,clothes,139.7283,35.6664
n2283944051,サカゼン,clothes,139.7829,35.6935
n2283944053,Family Mart,convenience,139.7805,35.6921
n2283943988,Family Mart,convenience,139.7848,35.6933
n2283943989,Family Mart,convenience,139.7853,35.69385
n2283636727,美容室 キャステル,hairdresser,139.7441,35.6462
n2283943949,まいばすけっと,supermarket,139.7860,35.6887
n2283636725,ローソン,convenience,139.7442,35.64689
n2283636726,橋都,jewelry,139.7442,35.6467
n2285608687,書原,books,139.7854,35.6687
n2285608692,Book Off,books,139.7925,35.6706
n2285607509,ローソン,convenience,139.7869,35.6663
n2285607863,LINCOS,supermarket,139.7848,35.6693
n2283944073,Mini Stop,convenience,139.7817,35.6929
n2283944078,カクヤス,alcohol,139.7798,35.6972
n2283944054,マルマンストア,supermarket,139.7816,35.6925
n2283944072,ドコモショップ,mobile_phone,139.7821,35.6929
n2209542472,カクヤス,alcohol,139.7289,35.6619
n2211307669,白洋舎,dry_cleaning,139.7433,35.6706
n2209541301,ローソン,convenience,139.7307,35.6627
n2209542298,ファミリーマート,convenience,139.7295,35.6622
n2204492105,セブン-イレブン,convenience,139.7850,35.6895
n2209528996,Ferrari,car,139.7374,35.6611
n2197841924,ナチュラルローソン,convenience,139.7380,35.6562
n2197842048,,convenience,139.7392,35.6571
n2225407450,翠江堂,confectionery,139.7823,35.6569
n2225409359,樹りん,florist,139.7825,35.657
n2225405483,Nail Quick,beauty,139.7826,35.6571
n2225406711,中央コンタクト,optician,139.7826,35.657
n2224886954,セブン-イレブン,convenience,139.7775,35.6588
n2225404320,JINS,optician,139.7825,35.6569
n2211350354,,deli,139.7438,35.6703
n2214684270,KITTE,mall,139.7647,35.6798
n2225424510,ソフトバンクショップ,mobile_phone,139.7824,35.6569
n2225426503,Re・Ra・Ku,massage,139.7829,35.6572
n2225421274,field/dream,clothes,139.7822,35.657
n2225422247,ザ・ダイソー,variety_store,139.7824,35.6572
n2225414607,BOOKS 書原,books,139.7829,35.6574
n2225419730,On the Desk,stationery,139.7829,35.6572
n2225412388,VISAGE inti,hairdresser,139.7825,35.6572
n2225413318,Green DeLi,variety_store,139.7829,35.6573
n2259805134,105 Yen Store,variety_store,139.7833,35.6851
n2259805157,maruetsu petit,supermarket,139.7829,35.6865
n2258872310,NUNC,hairdresser,139.7435,35.6468
n2259805132,文教堂書店 (BUNKYODO),books,139.7828,35.6855
n2258266291,ACCEA,copyshop,139.7443,35.6476
n2258872203,カクヤス,alcohol,139.7427,35.6463
n2257407969,ファミリーマート,convenience,139.7768,35.7003
n2258202681,肉のハナマサ,supermarket,139.7761,35.6893
n2262657677,,anime,139.7693,35.6999
n2262657678,Hello storage,storage_rental,139.7693,35.6999
n2262375009,エックス,anime,139.7733,35.6976
n2262657668,FOODS SHOP WATABE,supermarket,139.7699,35.6998
n2261604683,電化のナカムラ,electronics,139.7431,35.6467
n2262375007,BOOK-OFF,books,139.7734,35.6977
n2261604597,スワローチェーン,dry_cleaning,139.7428,35.6465
n2261604625,,dry_cleaning,139.7430,35.6467
n2263941712,福島屋,supermarket,139.7723,35.7001
n2263941713,西川電子部品,hardware,139.7703,35.6987
n2263796315,,cafe,139.7710,35.6995
n2263941711,PHAR+MARCHÉ,pharmacist,139.7723,35.70018
n2263796310,Yellow Submarine,hobby,139.7708,35.6995
n2263796312,モエちょき,salon,139.7697,35.702
n2263796306,Amenity Dream;Akiba Guild,trading_cards,139.7710,35.6995
n2263796309,Yellow Submarine,hobby,139.7708,35.6995
n2266577915,コイズミ無線マルデン,electronics,139.7721,35.7017
n2267052226,丸善 (Maruzen),stationery,139.7641,35.69940
n2265854373,肉のハナマサ,supermarket,139.7839,35.6966
n2266530201,Sofmap,electronics,139.7717,35.7012
n2264383482,ソフネット,erotic,139.7734,35.6976
n2265592143,サンクス,convenience,139.7768,35.7099
n2264347180,maruetsu petit,supermarket,139.7791,35.6909
n2264383481,ark,computer,139.7711,35.7019
n2271379724,ピーコックストア,supermarket,139.7692,35.7024
n2271630374,TSUTSUMI,jewelry,139.7738,35.7077
n2270728961,みんなのてもみ,massage,139.7742,35.708
n2270728962,Tickety,ticket,139.7745,35.7079
n2270728957,シロクマの買取屋さん,second_hand,139.7744,35.7079
n2270728958,Izumiya,clothes,139.7743,35.7079
n2268159542,Discount Market A･Colle,supermarket,139.7975,35.6852
n2270728956,買取Pro,second_hand,139.7742,35.7079
n2065895733,セブン-イレブン,convenience,139.7658,35.6839
n2102474949,BALL PARK STORE,gift,139.7529,35.7057
n2065895712,セブン-イレブン,convenience,139.7650,35.6788
n2065895720,セブン-イレブン,convenience,139.7639,35.6823
n2064374104,ファミリーマート,convenience,139.7762,35.7101
n2065895684,セブン-イレブン,convenience,139.7670,35.6766
n2059756436,ローソン,convenience,139.7729,35.6836
n2064362689,,florist,139.7756,35.71030
n2130322770,ローソン,convenience,139.7688,35.6999
n2130326675,ファミリーマート,convenience,139.7683,35.6973
n2128592109,ローソン 芝赤門店,convenience,139.7528,35.6552
n2130321993,セブン-イレブン,convenience,139.7665,35.7013
n2122164753,ローソン,convenience,139.7431,35.7067
n2127050534,デイリーヤマザキ,convenience,139.7963,35.654
n2115279058,,alcohol,139.7547,35.6702
n2117147301,無印良品,supermarket,139.7651,35.67579
n2142305003,本郷メガネ,optician,139.7600,35.7098
n2142306205,ファミリーマート,convenience,139.7608,35.7073
n2130340739,セブン-イレブン,convenience,139.7716,35.685
n2135892988,イディア・クラッシック,music,139.7545,35.69527
n2130330931,ファミリーマート,convenience,139.7681,35.6921
n2130337791,ミニストップ,convenience,139.7704,35.6876
n2130328651,セブン-イレブン,convenience,139.7676,35.6949
n2130328791,マルエツプチ,supermarket,139.7676,35.6935
n2163859017,ファミリーマート,convenience,139.7500,35.6485
n2172603816,セブン-イレブン,convenience,139.7546,35.6975
n2163858921,ilpalino,hairdresser,139.7501,35.6485
n2163859016,ファミリーマート,convenience,139.7490,35.6474
n2151666221,鈴や寝具,yes,139.7456,35.6496
n2163858920,EMobile,mobile_phone,139.7490,35.6482
n2142307388,かねやす,clothes,139.7604,35.70723
n2151666096,はんこ広場,stationery,139.7457,35.6488
n2178165811,WEST,confectionery,139.7245,35.6669
n2178174858,kitson,clothes,139.7261,35.67
n2176932377,ファミリーマート,convenience,139.7369,35.6739
n2176938794,Daily Store,convenience,139.7362,35.6774
n2176894878,ファミリーマート,convenience,139.7398,35.6632
n2176924262,ポプラ,convenience,139.7379,35.6701
n2172640139,クリーニング KOKUSAI,dry_cleaning,139.7535,35.6989
n2172675033,ファミリーマート,convenience,139.7546,35.7004
n2184622671,ファミリーマート,convenience,139.7858,35.6819
n2186532442,ファミリーマート,convenience,139.7447,35.6506
n2181199678,オヤイデ電器,electronics,139.7709,35.6985
n2184622670,ファミリーマート,convenience,139.7803,35.6807
n2179393005,ファミリーマート,convenience,139.7412,35.7079
n2180935334,文京楽器,musical_instrument,139.7575,35.7063
n2178176154,ファミリーマート,convenience,139.7263,35.67086
n2178332700,ファミリーマート,convenience,139.7258,35.6722
n2192141951,Hanamasa Plus+,supermarket,139.7700,35.7044
n2192156591,セブン-イレブン,convenience,139.7723,35.7027
n2192133942,ファミリーマート,convenience,139.7697,35.7063
n2192134899,ローソン,convenience,139.7697,35.706
n2192124642,ローソン,convenience,139.7696,35.7089
n2192125633,セブン-イレブン,convenience,139.7699,35.7089
n2186629627,ショップインバース秋葉原2号店,computer,139.7705,35.7009
n2190618817,ローソン,convenience,139.7510,35.66126
n2197819596,,supermarket,139.7321,35.6585
n2197819658,つたや,books,139.7319,35.6589
n2192214443,サンクス,convenience,139.7874,35.6994
n2192218263,auショップ,mobile_phone,139.7873,35.69936
n2192183997,セブン-イレブン,convenience,139.7805,35.702
n2192185402,ファミリーマート,convenience,139.7812,35.7024
n2192157021,花文,florist,139.7727,35.7027
n2192168720,ローソン,convenience,139.7754,35.7028
n1363293996,百果園,greengrocer,139.7746,35.71
n1363294003,二木ゴルフ,sports,139.7747,35.708
n1363293991,コトブキゴルフ,sports,139.7745,35.7081
n1363293994,ニューフルーツ,greengrocer,139.7746,35.7101
n1363293975,吉池,supermarket,139.7742,35.7071
n1363293989,石山商店,general,139.7748,35.7087
n1363293966,丸大食品,butcher,139.7747,35.7093
n1363293970,ロンドンスポーツ,sports,139.7747,35.7083
